Designator,Mid X,Mid Y,Rotation,Layer
BT1,41.25,-15.5,0.0,bottom
BUZZER2,70.5,-12.2,0.0,top
C1,17.0,-25.5,90.0,top
C27,71.08,-5.84,180.0,top
C31,21.80602,-16.058035,270.0,top
C32,18.0,-19.0,90.0,top
C40,11.862498,-17.0,270.0,top
C41,11.0929,-19.23919,0.0,top
C52,62.934646,-29.13,90.0,top
C55,57.934646,-29.88,0.0,top
C56,57.909646,-28.38,180.0,top
C58,83.0375,-5.5,90.0,top
C59,84.5475,-5.5,90.0,top
C61,86.0375,-5.5,90.0,top
C62,81.537499,-5.5,90.0,top
C65,21.25,-25.025,0.0,top
C71,19.5,-9.75,90.0,top
C71C1,14.0,-26.5,0.0,top
D4,36.59,-1.500001,0.0,top
D5,64.263046,-10.178702,0.0,top
D7,27.84,-1.25,0.0,top
D8,24.325,-1.25,0.0,top
L1,77.257501,-7.5,180.0,top
Q7,14.25,-23.5,270.0,top
R11,16.5,-20.575,270.0,top
R12,18.0,-14.5,0.0,top
R16,21.80602,-12.958035,270.0,top
R18,64.684646,-29.13,270.0,top
R21,36.575,-3.0,0.0,top
R23,8.396427,-6.107443,180.0,top
R24,27.825,-2.75,0.0,top
R25,18.0,-9.75,90.0,top
R26,21.0,-9.75,90.0,top
R27,68.75,-15.95,0.0,top
R28,14.25,-20.75,180.0,top
R29,24.325,-2.75,0.0,top
R32,60.434646,-29.055,90.0,top
R33,68.75,-17.7,180.0,top
R34,61.330909,-8.533654,0.0,top
R35,65.825,-12.699999,0.0,top
R36,62.75,-12.75,0.0,top
R37,67.175,-8.250001,0.0,top
R39,81.0375,-24.25,0.0,top
R40,89.5375,-24.25,180.0,top
R9,18.5,-16.0,0.0,top
SW1,9.989969,-2.813582,180.0,top
TP34,71.25,-29.95,270.0,top
TP36,77.25,-29.95,270.0,top
TP38,75.25,-29.95,270.0,top
TP39,81.25,-29.95,0.0,top
TP40,73.25,-29.95,270.0,top
TP41,79.25,-29.95,0.0,top
U1,15.0,-17.0,0.0,top
U12,24.975,-25.025,180.0,top
U2,85.25,-15.5,270.0,top
U4,24.05,-14.9,0.0,top
U6,61.28,-20.73,90.0,top
USB1,64.43,-4.13,180.0,top
