Quantity,Component,Price,Link,Notes
5,18650 Battery,$33.93 ,https://liionwholesale.com/products/molicel-npe-inr-18650-m35a-10a-3500mah-flat-top-18650-battery-authorized-distributor?variant=32004772528197,
5,2.4G WIfi Antenna,$1.39 ,https://www.aliexpress.us/item/3256802833801038.html?spm=a2g0o.productlist.main.17.44bbCrBdCrBdFl&algo_pvid=20d56933-2b0c-45d5-8601-1bc6a9682401&algo_exp_id=20d56933-2b0c-45d5-8601-1bc6a9682401-16&pdp_ext_f=%7B%22order%22%3A%221074%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.55%213.52%21%21%213.55%213.52%21%402101ef5e17781321493642302e40a6%2112000023272348781%21sea%21US%217493938711%21X%211%210%21n_tag%3A-29913%3Bd%3A21b1ce8d%3Bm03_new_user%3A-29895&curPageLogUid=rLnZuf4b98Bi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003020115790%7C_p_origin_prod%3A,select 5cm FPC-IPX4 cable
5,LS Anchor PCBs,$10.00 ,"Download repo, extract fabrication files, and fabricate through JLCPCB",
5,Electrical components for each PCB,$88.67 ,"See production BOM for a full list, the PCB fabrication files automatically include these components as well.",
Total:,$133.99 ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
